|CUI|LAT|TS|LUI|STT|SUI|ISPREF|AUI|SAUI|SCUI|SDUI|SAB|TTY|CODE|STR|SRL|SUPPRESS|CVF|WIKIDATA|MESH_WIKI|SNOMED_CT_WIKI|ICD10_WIKI|ICD10CM_WIKI|ICD10PCS_WIKI|NCBI_WIKI|WN31|WN30|WN_SENSE|SNOMEDCT2ICD10|ICD10ENG|ICD10CM_SPA|ICD10OCS_SPA
5540|C0000737|ENG|S|L9385397|PF|S11687982|Y|A17867148|||R10.9|ICD10CM|PT|R10.9|Unspecified abdominal pain|4|N|256|Q183425|D015746||R10||||14350671-n|14327266-n|stomachache%1:26:00:: stomach_ache%1:26:00:: bellyache%1:26:00:: gastralgia%1:26:00::|||Dolor abdominal no especificado|
5920|C0000744|ENG|P|L0000744|PF|S0009088|N|A17774174|||E78.6|ICD10CM|ET|E78.6|Abetalipoproteinemia|4|N|256|Q319812|D000012|||E78.6|||14175366-n|14151884-n|abetalipoproteinemia%1:26:00::|||Carencia de lipoproteínas|
7858|C0000786|ENG|P|L0000819|PF|S0218600|N|A17840982|||O03|ICD10CM|HT|O03|Spontaneous abortion|4|N|256|Q28693|D000022||O03||||00231342-n|00230475-n|spontaneous_abortion%1:04:00:: stillbirth%1:04:00:: miscarriage%1:04:00::|||Aborto espontáneo|
7889|C0000786|ENG|P|L0000819|VO|S0738098|Y|A17802566|||O03.9|ICD10CM|ET|O03.9|Spontaneous abortion NOS|4|N|256|Q28693|D000022||O03||||00231342-n|00230475-n|spontaneous_abortion%1:04:00:: stillbirth%1:04:00:: miscarriage%1:04:00::|||Aborto espontáneo completo o no especificado sin complicación|
9370|C0000822|ENG|P|L0000822|VCW|S0515344|N|A17815483|||O00.1|ICD10CM|ET|O00.1|Tubal abortion|4|N|256|Q28693|D000022||O03||||00231342-n|00230475-n|spontaneous_abortion%1:04:00:: stillbirth%1:04:00:: miscarriage%1:04:00::|||Embarazo tubárico|
10963|C0000889|ENG|P|L0000889|VC|S0354030|N|A17865126|||L83|ICD10CM|PT|L83|Acanthosis nigricans|4|N|256|Q415833|D000052|402599005||L83|||14245406-n|14221924-n|acanthosis_nigricans%1:26:00:: keratosis_nigricans%1:26:00::|||Acantosis nigricans|
19134|C0001175|ENG|S|L0677293|VC|S11696419|Y|A17786344|||B20|ICD10CM|ET|B20|acquired immune deficiency syndrome [AIDS]|4|N||Q12199|D000163||B2424.|B20|||14151264-n|14127782-n|aids%1:26:00:: acquired_immune_deficiency_syndrome%1:26:00::|||Enfermedad por virus de la inmunodeficiencia humana [VIH]|
21811|C0001261|ENG|P|L0001261|PF|S0010459|N|A17786231|||A42|ICD10CM|HT|A42|Actinomycosis|4|N|256|Q422268|D000196|||A42|||14277584-n|14254102-n|actinomycosis%1:26:00::|||Actinomicosis|
21812|C0001261|ENG|P|L0001261|PF|S0010459|N|A17786231|||A42|ICD10CM|HT|A42|Actinomycosis|4|N|256|Q422268|D000196|||A42.2|||14277584-n|14254102-n|actinomycosis%1:26:00::|||Actinomicosis|
21813|C0001261|ENG|P|L0001261|PF|S0010459|N|A17786231|||A42|ICD10CM|HT|A42|Actinomycosis|4|N|256|Q422268|D000196|||A42.0|||14277584-n|14254102-n|actinomycosis%1:26:00::|||Actinomicosis|
21814|C0001261|ENG|P|L0001261|PF|S0010459|N|A17786231|||A42|ICD10CM|HT|A42|Actinomycosis|4|N|256|Q422268|D000196|||A42.1|||14277584-n|14254102-n|actinomycosis%1:26:00::|||Actinomicosis|
21815|C0001261|ENG|P|L0001261|PF|S0010459|N|A17786231|||A42|ICD10CM|HT|A42|Actinomycosis|4|N|256|Q422268|D000196|||A42.7|||14277584-n|14254102-n|actinomycosis%1:26:00::|||Actinomicosis|
21816|C0001261|ENG|P|L0001261|PF|S0010459|N|A17786231|||A42|ICD10CM|HT|A42|Actinomycosis|4|N|256|Q422268|D000196|||A42.8|||14277584-n|14254102-n|actinomycosis%1:26:00::|||Actinomicosis|
21817|C0001261|ENG|P|L0001261|PF|S0010459|N|A17786231|||A42|ICD10CM|HT|A42|Actinomycosis|4|N|256|Q422268|D000196|||A42.9|||14277584-n|14254102-n|actinomycosis%1:26:00::|||Actinomicosis|
22049|C0001261|ENG|S|L0491785|PF|S0584771|N|A17824760|||A42.9|ICD10CM|PT|A42.9|Actinomycosis, unspecified|4|N|256|Q422268|D000196|||A42|||14277584-n|14254102-n|actinomycosis%1:26:00::|||Actinomicosis, no especificada|
22050|C0001261|ENG|S|L0491785|PF|S0584771|N|A17824760|||A42.9|ICD10CM|PT|A42.9|Actinomycosis, unspecified|4|N|256|Q422268|D000196|||A42.2|||14277584-n|14254102-n|actinomycosis%1:26:00::|||Actinomicosis, no especificada|
22051|C0001261|ENG|S|L0491785|PF|S0584771|N|A17824760|||A42.9|ICD10CM|PT|A42.9|Actinomycosis, unspecified|4|N|256|Q422268|D000196|||A42.0|||14277584-n|14254102-n|actinomycosis%1:26:00::|||Actinomicosis, no especificada|
22052|C0001261|ENG|S|L0491785|PF|S0584771|N|A17824760|||A42.9|ICD10CM|PT|A42.9|Actinomycosis, unspecified|4|N|256|Q422268|D000196|||A42.1|||14277584-n|14254102-n|actinomycosis%1:26:00::|||Actinomicosis, no especificada|
22053|C0001261|ENG|S|L0491785|PF|S0584771|N|A17824760|||A42.9|ICD10CM|PT|A42.9|Actinomycosis, unspecified|4|N|256|Q422268|D000196|||A42.7|||14277584-n|14254102-n|actinomycosis%1:26:00::|||Actinomicosis, no especificada|
22054|C0001261|ENG|S|L0491785|PF|S0584771|N|A17824760|||A42.9|ICD10CM|PT|A42.9|Actinomycosis, unspecified|4|N|256|Q422268|D000196|||A42.8|||14277584-n|14254102-n|actinomycosis%1:26:00::|||Actinomicosis, no especificada|
22055|C0001261|ENG|S|L0491785|PF|S0584771|N|A17824760|||A42.9|ICD10CM|PT|A42.9|Actinomycosis, unspecified|4|N|256|Q422268|D000196|||A42.9|||14277584-n|14254102-n|actinomycosis%1:26:00::|||Actinomicosis, no especificada|
24334|C0001344|ENG|P|L0001344|PF|S0218288|N|A17800842|||J02|ICD10CM|HT|J02|Acute pharyngitis|4|N|256|Q2085267|D010612|||J02|||14196966-n|14173484-n|sore_throat%1:26:00:: raw_throat%1:26:00:: pharyngitis%1:26:00::|||Faringitis aguda|
24335|C0001344|ENG|P|L0001344|PF|S0218288|N|A17800842|||J02|ICD10CM|HT|J02|Acute pharyngitis|4|N|256|Q2085267|D010612|||J02.9|||14196966-n|14173484-n|sore_throat%1:26:00:: raw_throat%1:26:00:: pharyngitis%1:26:00::|||Faringitis aguda|
24362|C0001344|ENG|P|L0001344|VO|S11670287|Y|A17826548|||J02.9|ICD10CM|ET|J02.9|Pharyngitis (acute) NOS|4|N||Q2085267|D010612|||J02|||14196966-n|14173484-n|sore_throat%1:26:00:: raw_throat%1:26:00:: pharyngitis%1:26:00::|||Faringitis aguda, no especificada|
24363|C0001344|ENG|P|L0001344|VO|S11670287|Y|A17826548|||J02.9|ICD10CM|ET|J02.9|Pharyngitis (acute) NOS|4|N||Q2085267|D010612|||J02.9|||14196966-n|14173484-n|sore_throat%1:26:00:: raw_throat%1:26:00:: pharyngitis%1:26:00::|||Faringitis aguda, no especificada|
24368|C0001344|ENG|S|L0679463|PF|S0798893|N|A17851998|||J02.9|ICD10CM|PT|J02.9|Acute pharyngitis, unspecified|4|N|256|Q2085267|D010612|||J02|||14196966-n|14173484-n|sore_throat%1:26:00:: raw_throat%1:26:00:: pharyngitis%1:26:00::|||Faringitis aguda, no especificada|
24369|C0001344|ENG|S|L0679463|PF|S0798893|N|A17851998|||J02.9|ICD10CM|PT|J02.9|Acute pharyngitis, unspecified|4|N|256|Q2085267|D010612|||J02.9|||14196966-n|14173484-n|sore_throat%1:26:00:: raw_throat%1:26:00:: pharyngitis%1:26:00::|||Faringitis aguda, no especificada|
43002|C0001816|ENG|P|L0001816|PF|S0011802|N|A17790522|||R48.1|ICD10CM|PT|R48.1|Agnosia|4|N|256|Q220322|D000377|||R48.2|||14123415-n|14099933-n|agnosia%1:26:00::|||Agnosia|
43003|C0001816|ENG|P|L0001816|PF|S0011802|N|A17790522|||R48.1|ICD10CM|PT|R48.1|Agnosia|4|N|256|Q220322|D000377|||R48.1|||14123415-n|14099933-n|agnosia%1:26:00::|||Agnosia|
43252|C0001818|ENG|P|L0001818|PF|S0011811|N|A17825602|||F40.0|ICD10CM|HT|F40.0|Agoraphobia|4|N|256|Q174589|D000379||F40.0|F40.0|||14405245-n|14381840-n|agoraphobia%1:26:00::|||Agorafobia|
43253|C0001818|ENG|P|L0001818|PF|S0011811|N|A17825602|||F40.0|ICD10CM|HT|F40.0|Agoraphobia|4|N|256|Q174589|D000379||F40.0|F40.00|||14405245-n|14381840-n|agoraphobia%1:26:00::|||Agorafobia|
43348|C0001818|ENG|S|L9376599|PF|S11613228|Y|A17774289|||F40.00|ICD10CM|PT|F40.00|Agoraphobia, unspecified|4|N|256|Q174589|D000379||F40.0|F40.0|||14405245-n|14381840-n|agoraphobia%1:26:00::|||Agorafobia, no especificada|
43349|C0001818|ENG|S|L9376599|PF|S11613228|Y|A17774289|||F40.00|ICD10CM|PT|F40.00|Agoraphobia, unspecified|4|N|256|Q174589|D000379||F40.0|F40.00|||14405245-n|14381840-n|agoraphobia%1:26:00::|||Agorafobia, no especificada|
43775|C0001825|ENG|P|L0001825|PF|S0011821|N|A17777760|||R48.8|ICD10CM|ET|R48.8|Agraphia|4|N|256|Q584560||||R48.8|||14123034-n|14099552-n|dysgraphia%1:26:00::|||Otras disfunciones simbólicas|
46170|C0001916|ENG|P|L0001916|PF|S0012019|N|A17799695|||E70.3|ICD10CM|HT|E70.3|Albinism|4|N|256|Q81867|D000417||E70.3||||14175761-n|14152279-n|albinism%1:26:00::|||Albinismo|
46197|C0001916|ENG|S|L9366288|PF|S11613264|Y|A17812525|||E70.30|ICD10CM|PT|E70.30|Albinism, unspecified|4|N|256|Q81867|D000417||E70.3||||14175761-n|14152279-n|albinism%1:26:00::|||Albinismo, no especificado|
48756|C0001973|ENG|S|L0001946|VC|S0000096|N|A17787010|||F10.2|ICD10CM|HT|F10.2|Alcohol dependence|4|N|256|Q15326|D000437||F10||||14088126-n|14064644-n|alcohol_addiction%1:26:00:: inebriation%1:26:01:: drunkenness%1:26:02:: alcoholism%1:26:00::|||Dependencia de alcohol|
48757|C0001973|ENG|S|L0001946|VC|S0000096|N|A17787010|||F10.2|ICD10CM|HT|F10.2|Alcohol dependence|4|N|256|Q15326|D000437||F10||||09204890-n|09181993-n|dipsomania%1:16:00:: alcoholism%1:16:01:: potomania%1:16:00::|||Dependencia de alcohol|
51363|C0002064|ENG|P|L0002064|VCW|S0725441|N|A17774188|||E87.3|ICD10CM|ET|E87.3|Respiratory alkalosis|4|N|256|Q1969062|D000472||E87.3||||14045093-n|14021622-n|respiratory_alkalosis%1:26:00::|||Alcalosis|
51544|C0002066|ENG|P|L0002066|PF|S0012250|N|A17825442|||E70.29|ICD10CM|ET|E70.29|Alkaptonuria|4|N|256|Q651680|D000474|||E70.29|||14108191-n|14084709-n|alcaptonuria%1:26:00:: alkaptonuria%1:26:00::|||Otros trastornos del metabolismo de la tirosina|
51545|C0002066|ENG|P|L0002066|PF|S0012250|N|A17825442|||E70.29|ICD10CM|ET|E70.29|Alkaptonuria|4|N|256|Q651680|D000474|||E70.2|||14108191-n|14084709-n|alcaptonuria%1:26:00:: alkaptonuria%1:26:00::|||Otros trastornos del metabolismo de la tirosina|
59147|C0002418|ENG|S|L0500924|VCW|S0752597|Y|A17864256|||H53.00|ICD10CM|HT|H53.00|Unspecified amblyopia|4|N|256|Q207855|D000550||H53.0|H53.00|||14120080-n|14096598-n|amblyopia%1:26:00::|||Ambliopía no especificada|
60099|C0002438|ENG|P|L0002438|PF|S0012920|N|A17850106|||A06|ICD10CM|HT|A06|Amebiasis|4|N|256|Q949694|D000562|||A06|||14198647-n|14175165-n|amebiosis%1:26:00:: amoebiasis%1:26:00:: amoebiosis%1:26:00:: amebiasis%1:26:00::|||Amebiasis|
60100|C0002438|ENG|P|L0002438|PF|S0012920|N|A17850106|||A06|ICD10CM|HT|A06|Amebiasis|4|N|256|Q949694|D000562|||A06.9|||14198647-n|14175165-n|amebiosis%1:26:00:: amoebiasis%1:26:00:: amoebiosis%1:26:00:: amebiasis%1:26:00::|||Amebiasis|
60175|C0002438|ENG|S|L0500983|PF|S0588288|N|A17798903|||A06.9|ICD10CM|PT|A06.9|Amebiasis, unspecified|4|N|256|Q949694|D000562|||A06|||14198647-n|14175165-n|amebiosis%1:26:00:: amoebiasis%1:26:00:: amoebiosis%1:26:00:: amebiasis%1:26:00::|||Amebiasis, no especificada|
60176|C0002438|ENG|S|L0500983|PF|S0588288|N|A17798903|||A06.9|ICD10CM|PT|A06.9|Amebiasis, unspecified|4|N|256|Q949694|D000562|||A06.9|||14198647-n|14175165-n|amebiosis%1:26:00:: amoebiasis%1:26:00:: amoebiosis%1:26:00:: amebiasis%1:26:00::|||Amebiasis, no especificada|
61184|C0002453|ENG|S|L0694612|PF|S0802835|N|A17802530|||N91.2|ICD10CM|PT|N91.2|Amenorrhea, unspecified|4|N|256|Q334655|D000568|||N91.2|||14325781-n|14302261-n|amenorrhoea%1:26:00:: amenorrhea%1:26:00:: amenia%1:26:00::|||Amenorrea, no especificada|
64965|C0002622|ENG|P|L0002622|VO|S11613437|Y|A17790515|||R41.3|ICD10CM|ET|R41.3|Amnesia NOS|4|N|256|Q11072|D000647|||F04|||05680235-n|05672391-n|memory_loss%1:09:00:: amnesia%1:09:00:: blackout%1:09:01::|||Otra amnesia|
64966|C0002622|ENG|P|L0002622|VO|S11613437|Y|A17790515|||R41.3|ICD10CM|ET|R41.3|Amnesia NOS|4|N|256|Q11072|D000647|||R41.3|||05680235-n|05672391-n|memory_loss%1:09:00:: amnesia%1:09:00:: blackout%1:09:01::|||Otra amnesia|
64985|C0002622|ENG|S|L0025263|VO|S3162415|Y|A17816189|||R41.3|ICD10CM|ET|R41.3|Memory loss NOS|4|N|256|Q11072|D000647|||F04|||05680235-n|05672391-n|memory_loss%1:09:00:: amnesia%1:09:00:: blackout%1:09:01::|||Otra amnesia|
64986|C0002622|ENG|S|L0025263|VO|S3162415|Y|A17816189|||R41.3|ICD10CM|ET|R41.3|Memory loss NOS|4|N|256|Q11072|D000647|||R41.3|||05680235-n|05672391-n|memory_loss%1:09:00:: amnesia%1:09:00:: blackout%1:09:01::|||Otra amnesia|
68795|C0002726|ENG|P|L0002726|PF|S0013420|N|A17825483|||E85|ICD10CM|HT|E85|Amyloidosis|4|N|256|Q816798|D000686|||E85|||14089175-n|14065693-n|amyloidosis%1:26:00::|||Amiloidosis|
68796|C0002726|ENG|P|L0002726|PF|S0013420|N|A17825483|||E85|ICD10CM|HT|E85|Amyloidosis|4|N|256|Q816798|D000686|||E85.0|||14089175-n|14065693-n|amyloidosis%1:26:00::|||Amiloidosis|
68797|C0002726|ENG|P|L0002726|PF|S0013420|N|A17825483|||E85|ICD10CM|HT|E85|Amyloidosis|4|N|256|Q816798|D000686|||E85.3|||14089175-n|14065693-n|amyloidosis%1:26:00::|||Amiloidosis|
68798|C0002726|ENG|P|L0002726|PF|S0013420|N|A17825483|||E85|ICD10CM|HT|E85|Amyloidosis|4|N|256|Q816798|D000686|||E85.1|||14089175-n|14065693-n|amyloidosis%1:26:00::|||Amiloidosis|
68799|C0002726|ENG|P|L0002726|PF|S0013420|N|A17825483|||E85|ICD10CM|HT|E85|Amyloidosis|4|N|256|Q816798|D000686|||E85.2|||14089175-n|14065693-n|amyloidosis%1:26:00::|||Amiloidosis|
68800|C0002726|ENG|P|L0002726|PF|S0013420|N|A17825483|||E85|ICD10CM|HT|E85|Amyloidosis|4|N|256|Q816798|D000686|||E85.8|||14089175-n|14065693-n|amyloidosis%1:26:00::|||Amiloidosis|
68801|C0002726|ENG|P|L0002726|PF|S0013420|N|A17825483|||E85|ICD10CM|HT|E85|Amyloidosis|4|N|256|Q816798|D000686|||E85.9|||14089175-n|14065693-n|amyloidosis%1:26:00::|||Amiloidosis|
68802|C0002726|ENG|P|L0002726|PF|S0013420|N|A17825483|||E85|ICD10CM|HT|E85|Amyloidosis|4|N|256|Q816798|D000686|||E85.4|||14089175-n|14065693-n|amyloidosis%1:26:00::|||Amiloidosis|
69043|C0002726|ENG|S|L0696012|PF|S0803227|N|A17786989|||E85.9|ICD10CM|PT|E85.9|Amyloidosis, unspecified|4|N|256|Q816798|D000686|||E85|||14089175-n|14065693-n|amyloidosis%1:26:00::|||Amiloidosis, no especificada|
69044|C0002726|ENG|S|L0696012|PF|S0803227|N|A17786989|||E85.9|ICD10CM|PT|E85.9|Amyloidosis, unspecified|4|N|256|Q816798|D000686|||E85.0|||14089175-n|14065693-n|amyloidosis%1:26:00::|||Amiloidosis, no especificada|
69045|C0002726|ENG|S|L0696012|PF|S0803227|N|A17786989|||E85.9|ICD10CM|PT|E85.9|Amyloidosis, unspecified|4|N|256|Q816798|D000686|||E85.3|||14089175-n|14065693-n|amyloidosis%1:26:00::|||Amiloidosis, no especificada|
69046|C0002726|ENG|S|L0696012|PF|S0803227|N|A17786989|||E85.9|ICD10CM|PT|E85.9|Amyloidosis, unspecified|4|N|256|Q816798|D000686|||E85.1|||14089175-n|14065693-n|amyloidosis%1:26:00::|||Amiloidosis, no especificada|
69047|C0002726|ENG|S|L0696012|PF|S0803227|N|A17786989|||E85.9|ICD10CM|PT|E85.9|Amyloidosis, unspecified|4|N|256|Q816798|D000686|||E85.2|||14089175-n|14065693-n|amyloidosis%1:26:00::|||Amiloidosis, no especificada|
69048|C0002726|ENG|S|L0696012|PF|S0803227|N|A17786989|||E85.9|ICD10CM|PT|E85.9|Amyloidosis, unspecified|4|N|256|Q816798|D000686|||E85.8|||14089175-n|14065693-n|amyloidosis%1:26:00::|||Amiloidosis, no especificada|
69049|C0002726|ENG|S|L0696012|PF|S0803227|N|A17786989|||E85.9|ICD10CM|PT|E85.9|Amyloidosis, unspecified|4|N|256|Q816798|D000686|||E85.9|||14089175-n|14065693-n|amyloidosis%1:26:00::|||Amiloidosis, no especificada|
69050|C0002726|ENG|S|L0696012|PF|S0803227|N|A17786989|||E85.9|ICD10CM|PT|E85.9|Amyloidosis, unspecified|4|N|256|Q816798|D000686|||E85.4|||14089175-n|14065693-n|amyloidosis%1:26:00::|||Amiloidosis, no especificada|
73479|C0002871|ENG|S|L0503461|PF|S0589617|N|A17825296|||D64.9|ICD10CM|PT|D64.9|Anemia, unspecified|4|N|256|Q5445|D000740|271737000||D64.9|||14396143-n|14372738-n|anaemia%1:26:01:: anemia%1:26:01::|||Anemia, no especificada|
86711|C0002902|ENG|P|L0002902|PF|S0013816|N|A17790247|||Q00.0|ICD10CM|PT|Q00.0|Anencephaly|4|N|256|Q529292|D000757|||Q00.0|||14176099-n|14152617-n|anencephaly%1:26:00:: anencephalia%1:26:00::|||Anencefalia|
86712|C0002902|ENG|P|L0002902|PF|S0013816|N|A17790247|||Q00.0|ICD10CM|PT|Q00.0|Anencephaly|4|N|256|Q529292|D000757|||00.0|||14176099-n|14152617-n|anencephaly%1:26:00:: anencephalia%1:26:00::|||Anencefalia|
89558|C0002962|ENG|P|L0002962|VC|S0355458|N|A17826307|||I20|ICD10CM|HT|I20|Angina pectoris|4|N|256|Q180762|D000787||I20||||14131521-n|14108039-n|angina%1:26:01:: angina_pectoris%1:26:00::|||Angina de pecho|
89559|C0002962|ENG|P|L0002962|VC|S0355458|N|A17826307|||I20|ICD10CM|HT|I20|Angina pectoris|4|N|256|Q180762|D000787||I20||||14197107-n|14173625-n|angina%1:26:00::|||Angina de pecho|
89620|C0002962|ENG|S|L0002961|VO|S11613583|Y|A17864429|||I20.9|ICD10CM|ET|I20.9|Angina NOS|4|N|256|Q180762|D000787||I20||||14131521-n|14108039-n|angina%1:26:01:: angina_pectoris%1:26:00::|||Angina de pecho, no especificada|
89621|C0002962|ENG|S|L0002961|VO|S11613583|Y|A17864429|||I20.9|ICD10CM|ET|I20.9|Angina NOS|4|N|256|Q180762|D000787||I20||||14197107-n|14173625-n|angina%1:26:00::|||Angina de pecho, no especificada|
89644|C0002962|ENG|S|L0038254|PF|S0088161|N|A17851741|||I20.8|ICD10CM|ET|I20.8|Stenocardia|4|N|256|Q180762|D000787||I20||||14131521-n|14108039-n|angina%1:26:01:: angina_pectoris%1:26:00::|||Otras formas de angina de pecho|
89645|C0002962|ENG|S|L0038254|PF|S0088161|N|A17851741|||I20.8|ICD10CM|ET|I20.8|Stenocardia|4|N|256|Q180762|D000787||I20||||14197107-n|14173625-n|angina%1:26:00::|||Otras formas de angina de pecho|
89666|C0002962|ENG|S|L0280482|PF|S0470250|Y|A17851740|||I20.8|ICD10CM|ET|I20.8|Angina of effort|4|N|256|Q180762|D000787||I20||||14131521-n|14108039-n|angina%1:26:01:: angina_pectoris%1:26:00::|||Otras formas de angina de pecho|
89667|C0002962|ENG|S|L0280482|PF|S0470250|Y|A17851740|||I20.8|ICD10CM|ET|I20.8|Angina of effort|4|N|256|Q180762|D000787||I20||||14197107-n|14173625-n|angina%1:26:00::|||Otras formas de angina de pecho|
89674|C0002962|ENG|S|L0280491|PF|S0355468|N|A17775053|||I20.9|ICD10CM|ET|I20.9|Anginal syndrome|4|N|256|Q180762|D000787||I20||||14131521-n|14108039-n|angina%1:26:01:: angina_pectoris%1:26:00::|||Angina de pecho, no especificada|
89675|C0002962|ENG|S|L0280491|PF|S0355468|N|A17775053|||I20.9|ICD10CM|ET|I20.9|Anginal syndrome|4|N|256|Q180762|D000787||I20||||14197107-n|14173625-n|angina%1:26:00::|||Angina de pecho, no especificada|
89696|C0002962|ENG|S|L0371236|PF|S0475241|N|A17826310|||I20.9|ICD10CM|ET|I20.9|Cardiac angina|4|N|256|Q180762|D000787||I20||||14131521-n|14108039-n|angina%1:26:01:: angina_pectoris%1:26:00::|||Angina de pecho, no especificada|
89697|C0002962|ENG|S|L0371236|PF|S0475241|N|A17826310|||I20.9|ICD10CM|ET|I20.9|Cardiac angina|4|N|256|Q180762|D000787||I20||||14197107-n|14173625-n|angina%1:26:00::|||Angina de pecho, no especificada|
89718|C0002962|ENG|S|L0700183|PF|S0804179|N|A17839062|||I20.9|ICD10CM|PT|I20.9|Angina pectoris, unspecified|4|N|256|Q180762|D000787||I20||||14131521-n|14108039-n|angina%1:26:01:: angina_pectoris%1:26:00::|||Angina de pecho, no especificada|
89719|C0002962|ENG|S|L0700183|PF|S0804179|N|A17839062|||I20.9|ICD10CM|PT|I20.9|Angina pectoris, unspecified|4|N|256|Q180762|D000787||I20||||14197107-n|14173625-n|angina%1:26:00::|||Angina de pecho, no especificada|
