CUI|LAT|TS|LUI|STT|SUI|ISPREF|AUI|SAUI|SCUI|SDUI|SAB|TTY|CODE|STR|SRL|SUPPRESS|CVF|ICD10CM_SPA|ICD10PCS_SPA|SNOMEDCT2ICD10|SNOMEDCT2ICD10_ENG|SNOMEDCT2ICD10_SPA|WIKIDATA|MESH_WIKI|SNOMED_CT_WIKI|ICD10_WIKI|ICD10CM_WIKI|ICD10PCS_WIKI|NCBI_WIKI|WN31|WN30|WN_SENSE|TUI|SEMTYPE|SEMGROUP|DEF
C0000005|ENG|P|L0000005|PF|S0007492|Y|A26634265||M0019694|D012711|MSH|PEP|D012711|(131)I-Macroaggregated Albumin|0|N|256||||||Q20801769|D012711|||||||||T116|Amino Acid, Peptide, or Protein|CHEM|Chemicals & Drugs
C0000005|ENG|P|L0000005|PF|S0007492|Y|A26634265||M0019694|D012711|MSH|PEP|D012711|(131)I-Macroaggregated Albumin|0|N|256||||||Q20801769|D012711|||||||||T121|Pharmacologic Substance|CHEM|Chemicals & Drugs
C0000005|ENG|P|L0000005|PF|S0007492|Y|A26634265||M0019694|D012711|MSH|PEP|D012711|(131)I-Macroaggregated Albumin|0|N|256||||||Q20801769|D012711|||||||||T130|Indicator, Reagent, or Diagnostic Aid|CHEM|Chemicals & Drugs
C0000005|ENG|S|L0270109|PF|S0007491|Y|A26634266||M0019694|D012711|MSH|ET|D012711|(131)I-MAA|0|N|256||||||Q20801769|D012711|||||||||T116|Amino Acid, Peptide, or Protein|CHEM|Chemicals & Drugs
C0000005|ENG|S|L0270109|PF|S0007491|Y|A26634266||M0019694|D012711|MSH|ET|D012711|(131)I-MAA|0|N|256||||||Q20801769|D012711|||||||||T121|Pharmacologic Substance|CHEM|Chemicals & Drugs
C0000005|ENG|S|L0270109|PF|S0007491|Y|A26634266||M0019694|D012711|MSH|ET|D012711|(131)I-MAA|0|N|256||||||Q20801769|D012711|||||||||T130|Indicator, Reagent, or Diagnostic Aid|CHEM|Chemicals & Drugs
C0000005|FRE|P|L6220710|PF|S7133957|Y|A13433185||M0019694|D012711|MSHFRE|PEP|D012711|Macroagrégats d'albumine marquée à l'iode 131|3|N|||||||Q20801769|D012711|||||||||T116|Amino Acid, Peptide, or Protein|CHEM|Chemicals & Drugs
C0000005|FRE|P|L6220710|PF|S7133957|Y|A13433185||M0019694|D012711|MSHFRE|PEP|D012711|Macroagrégats d'albumine marquée à l'iode 131|3|N|||||||Q20801769|D012711|||||||||T121|Pharmacologic Substance|CHEM|Chemicals & Drugs
C0000005|FRE|P|L6220710|PF|S7133957|Y|A13433185||M0019694|D012711|MSHFRE|PEP|D012711|Macroagrégats d'albumine marquée à l'iode 131|3|N|||||||Q20801769|D012711|||||||||T130|Indicator, Reagent, or Diagnostic Aid|CHEM|Chemicals & Drugs
C0000005|FRE|S|L6215648|PF|S7133916|Y|A27488794||M0019694|D012711|MSHFRE|ET|D012711|MAA-I 131|3|N|||||||Q20801769|D012711|||||||||T116|Amino Acid, Peptide, or Protein|CHEM|Chemicals & Drugs
C0000005|FRE|S|L6215648|PF|S7133916|Y|A27488794||M0019694|D012711|MSHFRE|ET|D012711|MAA-I 131|3|N|||||||Q20801769|D012711|||||||||T121|Pharmacologic Substance|CHEM|Chemicals & Drugs
C0000005|FRE|S|L6215648|PF|S7133916|Y|A27488794||M0019694|D012711|MSHFRE|ET|D012711|MAA-I 131|3|N|||||||Q20801769|D012711|||||||||T130|Indicator, Reagent, or Diagnostic Aid|CHEM|Chemicals & Drugs
C0000005|FRE|S|L6215656|PF|S7133956|Y|A27614225||M0019694|D012711|MSHFRE|ET|D012711|Macroagrégats d'albumine humaine marquée à l'iode 131|3|N|||||||Q20801769|D012711|||||||||T116|Amino Acid, Peptide, or Protein|CHEM|Chemicals & Drugs
C0000005|FRE|S|L6215656|PF|S7133956|Y|A27614225||M0019694|D012711|MSHFRE|ET|D012711|Macroagrégats d'albumine humaine marquée à l'iode 131|3|N|||||||Q20801769|D012711|||||||||T121|Pharmacologic Substance|CHEM|Chemicals & Drugs
