item	itemLabel	itemDescription	cui
http://www.wikidata.org/entity/Q722	vanadium	chemical element with symbol V and atomic number 23	C0042306
http://www.wikidata.org/entity/Q9655	artery	the blood vessel that carry oxygenated blood away from the heart to other organs rather than lungs	C0003842
http://www.wikidata.org/entity/Q12135	mental disorder	behavioral or mental pattern that causes significant distress or impairment of personal functioning	C0004936
http://www.wikidata.org/entity/Q12133	deafness	partial or total inability to hear	C0011053
http://www.wikidata.org/entity/Q12133	deafness	partial or total inability to hear	C0018772
http://www.wikidata.org/entity/Q9644	joint	location at which two or more bones make contact	C0022417
http://www.wikidata.org/entity/Q9377	kidney	internal organ in most animals, including vertebrates and some invertebrates	C0022646
http://www.wikidata.org/entity/Q8277	multiple sclerosis	disease that damages the myelin sheaths around nerve axons	C0026769
http://www.wikidata.org/entity/Q7365	muscle organ	contractile soft tissue of mammals	C0026845
http://www.wikidata.org/entity/Q12135	mental disorder	behavioral or mental pattern that causes significant distress or impairment of personal functioning	C0029516
http://www.wikidata.org/entity/Q170082	psychosis	abnormal condition of the mind that involves a loss of contact with reality	C0029516
http://www.wikidata.org/entity/Q9609	vein	blood vessel that carry deoxygenated blood towards the heart, with the exception of the pulmonary vein	C0042449
http://www.wikidata.org/entity/Q9635	mouth	first portion of the alimentary canal that receives food	C0226896
http://www.wikidata.org/entity/Q27042858	cavity of mouth	no description	C0226896
http://www.wikidata.org/entity/Q12133	deafness	partial or total inability to hear	C0339789
http://www.wikidata.org/entity/Q5160434	Congenital hearing loss	no description	C0339789
http://www.wikidata.org/entity/Q8285	myasthenia gravis	human disease	C1260409
http://www.wikidata.org/entity/Q12133	deafness	partial or total inability to hear	C1384666
http://www.wikidata.org/entity/Q12133	deafness	partial or total inability to hear	C3887873
http://www.wikidata.org/entity/Q18676	auditory cortex	region of the brain	C0004302
http://www.wikidata.org/entity/Q16408	halitosis	presence of unpleasant odors in exhaled breath	C0018520
http://www.wikidata.org/entity/Q16495	Riedel's fibrosing thyroiditis	thyroid disease	C0154162
http://www.wikidata.org/entity/Q43656	cholesterol	sterol biosynthesized by all animal cells which is an essential structural component of all animal cell membranes	C0008377
http://www.wikidata.org/entity/Q41055	forehead	area of the head between the eyebrows and the hairline	C0016540
http://www.wikidata.org/entity/Q33767	hand	extremity at the end of an arm or forelimb	C0018563
http://www.wikidata.org/entity/Q37425	knee	region around the kneecap	C0022745
http://www.wikidata.org/entity/Q36956	leprosy	chronic infection caused by bacteria Mycobacteria lepræ and lepromatosis	C0023343
http://www.wikidata.org/entity/Q32703	aminomethylpropanol	chemical compound	C0045818
http://www.wikidata.org/entity/Q42982	allergy	immune system response to a substance that most people tolerate well	C1690571
http://www.wikidata.org/entity/Q36855	swine influenza	infection caused by any one of several types of swine influenza viruses	C2076600
http://www.wikidata.org/entity/Q42985	Ivan Pavlov	Russian physiologist	CL563787
http://www.wikidata.org/entity/Q49546	acetone	chemical compound	C0001002
http://www.wikidata.org/entity/Q58356	amoxapine	chemical compound	C0002644
http://www.wikidata.org/entity/Q47038	cheek	part of the head	C0007966
http://www.wikidata.org/entity/Q58713	clomipramine	chemical compound	C0009010
http://www.wikidata.org/entity/Q48360	hippocampus	brain region correlated with memory consolidation and imagination	C0019564
http://www.wikidata.org/entity/Q49989	Creutzfeldt-Jakob disease	degenerative neurological disorder	C0022336
http://www.wikidata.org/entity/Q55345655	inherited Creutzfeldt-Jakob disease	no description	C0022336
http://www.wikidata.org/entity/Q55345939	sporadic Creutzfeldt-Jakob disease	no description	C0022336
http://www.wikidata.org/entity/Q51993	Ebola hemorrhagic fever	human disease	C0282687
http://www.wikidata.org/entity/Q162272	viral hemorrhagic fever	group of viral diseases having in common capillary permeability, leukopenia and thrombocytopenia	C0282687
http://www.wikidata.org/entity/Q48686	acrania	medical condition	C0702169
http://www.wikidata.org/entity/Q68854	snakebite	injury caused by a bite from a snake	C0037379
http://www.wikidata.org/entity/Q83177	depersonalization	anomaly of self-awareness	C0011551
http://www.wikidata.org/entity/Q84133	myocardium	middle layer of the heart wall, which consists of cardiac muscle	C0027061
http://www.wikidata.org/entity/Q93978	antispasmodic	class of medications	C0037766
http://www.wikidata.org/entity/Q118418	antisocial personality disorder	Personality disorder that involves a pervasive pattern of disregard for other people	C0003431
http://www.wikidata.org/entity/Q103142	capillary	smallest type of blood vessel	C0006901
http://www.wikidata.org/entity/Q106016	genotype	classification system used to categorize organisms based on their genetic characteristics; organism's full hereditary information, part (DNA sequence) of the genetic makeup of a cell, one of three factors that determine phenotype	C0017431
http://www.wikidata.org/entity/Q119280	medullary sponge kidney	congenital disorder of urinary system	C0022681
http://www.wikidata.org/entity/Q110315	lead poisoning	poisoning by lead in the body, especially affects the brain	C0023176
http://www.wikidata.org/entity/Q112412	congenital myopathy	human disease	C0027127
http://www.wikidata.org/entity/Q587420	myotonia congenita	muscle tissue disease that is characterised by slow muscle relaxation associated with hyperexcitation of the muscle fibres	C0027127
http://www.wikidata.org/entity/Q112412	congenital myopathy	human disease	C0270960
http://www.wikidata.org/entity/Q108200	chloride ion	anion	C0596019
http://www.wikidata.org/entity/Q103142	capillary	smallest type of blood vessel	C0935624
http://www.wikidata.org/entity/Q131130	anesthesia	state of medically controlled temporary loss of sensation or awareness	C0002903
http://www.wikidata.org/entity/Q130983	cerebellum	region of the brain that coordinates motor functions and muscle tone	C0007765
http://www.wikidata.org/entity/Q127076	vomiting	forcible expulsion of the contents of the stomach through the mouth	C0042963
http://www.wikidata.org/entity/Q138912	podocyte	type of kidney cell	C1328818
http://www.wikidata.org/entity/Q139307	calcifediol	chemical compound	C2713074
http://www.wikidata.org/entity/Q145790	iridocyclitis	Human disease	C0007832
http://www.wikidata.org/entity/Q158103	déjà vu	psychological sensation that an event has been experienced in the past	C0011194
http://www.wikidata.org/entity/Q156103	gastroenteritis	medical condition characterized by inflammation of the stomach and/or small intestine	C0017160
http://www.wikidata.org/entity/Q145790	iridocyclitis	Human disease	C0022073
http://www.wikidata.org/entity/Q144085	pimozide	chemical compound	C0031935
http://www.wikidata.org/entity/Q156871	pituitary gland	endocrine gland at the base of the brain	C0032005
http://www.wikidata.org/entity/Q145790	iridocyclitis	Human disease	C0154909
http://www.wikidata.org/entity/Q155746	paricalcitol	chemical compound	C0249582
http://www.wikidata.org/entity/Q147270	cone dystrophy	inherited ocular disorder characterized by the loss of cone cells	C1867326
http://www.wikidata.org/entity/Q155888	periorbital dark circles	medical condition	C3275915
http://www.wikidata.org/entity/Q173235	analgesic	drugs used to relieve pain	C0002771
http://www.wikidata.org/entity/Q174723	codeine	opiate used to treat pain	C0009214
http://www.wikidata.org/entity/Q178194	cystic fibrosis	autosomal recessive disease characterized by the buildup of mucus	C0010674
http://www.wikidata.org/entity/Q160184	flatulence	bodily function of expelling intestinal gas out of the anus	C0016204
http://www.wikidata.org/entity/Q180618	standard genetic code	scheme, defines how sequences of codons specify which amino acid will be added next during protein synthesis; set of rules by which information encoded within genetic material (DNA or mRNA sequences) is translated into proteins by living cells.	C0017380
http://www.wikidata.org/entity/Q171877	hydrogen peroxide	chemical compound	C0020281
http://www.wikidata.org/entity/Q168403	myopia	visual defect which causes to see the near objects clearly and far objects unclearly	C0027092
http://www.wikidata.org/entity/Q177105	neuroglia	type of cells in nervous system	C0027836
http://www.wikidata.org/entity/Q170082	psychosis	abnormal condition of the mind that involves a loss of contact with reality	C0033975
http://www.wikidata.org/entity/Q180341	DL-methionine	sulfur-containing amino acid	C0034504
http://www.wikidata.org/entity/Q174857	scoliosis	spinal medical condition	C0036439
http://www.wikidata.org/entity/Q165930	tyramine	chemical compound	C0041479
http://www.wikidata.org/entity/Q174786	pentoxyverine	chemical compound	C0054668
http://www.wikidata.org/entity/Q166626	gastric perforation	no description	C0235884
http://www.wikidata.org/entity/Q161964	capillary leak syndrome	Human disease	C0343084
http://www.wikidata.org/entity/Q172605	palate	roof of mouth	C0700374
http://www.wikidata.org/entity/Q174723	codeine	opiate used to treat pain	C0770426
http://www.wikidata.org/entity/Q161964	capillary leak syndrome	Human disease	C1382398
http://www.wikidata.org/entity/Q172663	exorcism	practice of evicting demons or other spiritual entities from a person or an area	C4045985
http://www.wikidata.org/entity/Q185089	acidosis	a process causing increased acidity in the blood and other body tissues	C0001122
http://www.wikidata.org/entity/Q193583	adipose tissue	loose connective tissue composed mostly of adipocytes	C0001527
http://www.wikidata.org/entity/Q185034	sickle-cell disease	type of hereditary blood disorder	C0002895
http://www.wikidata.org/entity/Q187255	rheumatoid arthritis	autoimmune disease which attacks healthy cells and tissue located in joints	C0003873
http://www.wikidata.org/entity/Q182849	calcium hydroxide	chemical compound	C0006701
http://www.wikidata.org/entity/Q185034	sickle-cell disease	type of hereditary blood disorder	C0019034
http://www.wikidata.org/entity/Q18967387	sickle-cell/Hb-C disease with crisis	Human disease	C0019034
http://www.wikidata.org/entity/Q193818	hip	anatomical region	C0019552
http://www.wikidata.org/entity/Q186969	ibuprofen	chemical compound	C0020740
http://www.wikidata.org/entity/Q201299	hairy cell leukemia	chronic lymphocytic leukemia that is characterized by over production of B cells (lymphocytes) by the bone marrow where the B cells appear hairy under a microscope	C0023443
http://www.wikidata.org/entity/Q186529	narcissism	personality trait of excessive self love	C0027401
http://www.wikidata.org/entity/Q188605	pulmonary emphysema	human disease	C0029607
http://www.wikidata.org/entity/Q188605	pulmonary emphysema	human disease	C0034067
http://www.wikidata.org/entity/Q189522	quinine	chemical compound	C0034417
http://www.wikidata.org/entity/Q196672	rib	long curved bone surrounding the chest	C0035561
http://www.wikidata.org/entity/Q191381	saccharin	chemical compound	C0036023
http://www.wikidata.org/entity/Q193572	salicylic acid	chemical compound	C0036079
http://www.wikidata.org/entity/Q193894	sarcoidosis	Disease characterized by the growth of collections of inflammatory cells (granulomas) in multiple organs	C0036202
http://www.wikidata.org/entity/Q184215	thalamus	part of the brain responsible for sleep regulation and relaying sensory signals	C0039729
