item	wordnet_id	MESH	CUI
http://www.wikidata.org/entity/Q137628	01501047-n		
http://www.wikidata.org/entity/Q13888	11387576-n		
http://www.wikidata.org/entity/Q13972	09035105-n		
http://www.wikidata.org/entity/Q13991	08941386-n		
http://www.wikidata.org/entity/Q14277	11065893-n		
http://www.wikidata.org/entity/Q14875	03493046-n		
http://www.wikidata.org/entity/Q14952	03509349-n		
http://www.wikidata.org/entity/Q15026	03005231-n		
http://www.wikidata.org/entity/Q15975	11206901-n		
http://www.wikidata.org/entity/Q16397	11144290-n		
http://www.wikidata.org/entity/Q16558	09167060-n		
http://www.wikidata.org/entity/Q16559	09165754-n		
http://www.wikidata.org/entity/Q16572	08743287-n		
http://www.wikidata.org/entity/Q16867	11260470-n		
http://www.wikidata.org/entity/Q17221	10657708-n		
http://www.wikidata.org/entity/Q17892	11301335-n		
http://www.wikidata.org/entity/Q18535	06378026-n		
http://www.wikidata.org/entity/Q18758	08984548-n		
http://www.wikidata.org/entity/Q20019	07716709-n		
http://www.wikidata.org/entity/Q20032	07716383-n		
http://www.wikidata.org/entity/Q20863	02246530-n		
http://www.wikidata.org/entity/Q22693	14708272-n		
http://www.wikidata.org/entity/Q22947	09643248-n		
http://www.wikidata.org/entity/Q23066	08901776-n		
http://www.wikidata.org/entity/Q23086	08905607-n		
http://www.wikidata.org/entity/Q23090	08904418-n		
http://www.wikidata.org/entity/Q23220	08901483-n		
http://www.wikidata.org/entity/Q23240	08902288-n		
http://www.wikidata.org/entity/Q23406	09429429-n		
http://www.wikidata.org/entity/Q23418	03995707-n		
http://www.wikidata.org/entity/Q23522	08715852-n	D063368	
http://www.wikidata.org/entity/Q23556	09099186-n		
http://www.wikidata.org/entity/Q23685	10904583-n		
http://www.wikidata.org/entity/Q23800	08988998-n		
http://www.wikidata.org/entity/Q23856	04461511-n		
http://www.wikidata.org/entity/Q24603	09129392-n		
http://www.wikidata.org/entity/Q24829	11400763-n		
http://www.wikidata.org/entity/Q24869	06627379-n		
http://www.wikidata.org/entity/Q25227	08766332-n	D009427	
http://www.wikidata.org/entity/Q25956	04273272-n		
http://www.wikidata.org/entity/Q25973	11068200-n		
http://www.wikidata.org/entity/Q26102	10797068-n	D035642	
http://www.wikidata.org/entity/Q26401	05875905-n		
http://www.wikidata.org/entity/Q26439	09228778-n		
http://www.wikidata.org/entity/Q26582	02445745-n		
http://www.wikidata.org/entity/Q26879	10953017-n		
http://www.wikidata.org/entity/Q27205	14758120-n	D005337	
http://www.wikidata.org/entity/Q27686	03547513-n		
http://www.wikidata.org/entity/Q28077	04506595-n		
http://www.wikidata.org/entity/Q28206	09115400-n		
http://www.wikidata.org/entity/Q28922	01542214-n	D046370	
http://www.wikidata.org/entity/Q29022	02104692-n		
http://www.wikidata.org/entity/Q29177	02104322-n		
http://www.wikidata.org/entity/Q30034	02210932-n		
http://www.wikidata.org/entity/Q30869	05442853-n	D002466	
http://www.wikidata.org/entity/Q31347	08746927-n		
http://www.wikidata.org/entity/Q31818	01844320-n		
http://www.wikidata.org/entity/Q33261	02128146-n		
http://www.wikidata.org/entity/Q33486	09091681-n		
http://www.wikidata.org/entity/Q33518	09092731-n		
http://www.wikidata.org/entity/Q33609	02136736-n		
http://www.wikidata.org/entity/Q33767	02442881-n	D006225	C0018563
http://www.wikidata.org/entity/Q34116	08847288-n		
http://www.wikidata.org/entity/Q34336	03198281-n		
http://www.wikidata.org/entity/Q34370	08970680-n		
http://www.wikidata.org/entity/Q34600	08944866-n		
http://www.wikidata.org/entity/Q34647	09023035-n		
http://www.wikidata.org/entity/Q34692	08772071-n		
http://www.wikidata.org/entity/Q34718	02394646-n		
http://www.wikidata.org/entity/Q35245	06178571-n		
http://www.wikidata.org/entity/Q35484	09016709-n		
http://www.wikidata.org/entity/Q35715	08853400-n	D013021	
http://www.wikidata.org/entity/Q35942	08860659-n	D011114	
http://www.wikidata.org/entity/Q37056	09044502-n		
http://www.wikidata.org/entity/Q37501	04279164-n	D005139	
http://www.wikidata.org/entity/Q37643	01309581-n	D047830	
http://www.wikidata.org/entity/Q37710	02108818-n		
http://www.wikidata.org/entity/Q37995	08733610-n		
http://www.wikidata.org/entity/Q38383	02111324-n		
http://www.wikidata.org/entity/Q38751	02088588-n		
http://www.wikidata.org/entity/Q38807	08797227-n		
http://www.wikidata.org/entity/Q39093	02109202-n		
http://www.wikidata.org/entity/Q39777	03726382-n		
http://www.wikidata.org/entity/Q40169	08938717-n		
http://www.wikidata.org/entity/Q40283	00826853-n		
http://www.wikidata.org/entity/Q40846	09051013-n		
http://www.wikidata.org/entity/Q41055	05610303-n	D005546	C0016540
http://www.wikidata.org/entity/Q41064	06448807-n		
http://www.wikidata.org/entity/Q41079	08747804-n		
http://www.wikidata.org/entity/Q41211	08771127-n		
http://www.wikidata.org/entity/Q41323	00470726-n		
http://www.wikidata.org/entity/Q41354	07844963-n		
http://www.wikidata.org/entity/Q41607	04514450-n		
http://www.wikidata.org/entity/Q41726	08252434-n		
http://www.wikidata.org/entity/Q41960	02512446-n		
http://www.wikidata.org/entity/Q42177	02821967-n	D001513	
http://www.wikidata.org/entity/Q42515	00926393-n		
http://www.wikidata.org/entity/Q42810	08956076-n		
http://www.wikidata.org/entity/Q43070	09038469-n		
http://www.wikidata.org/entity/Q43193	03695799-n		
http://www.wikidata.org/entity/Q43290	06474066-n		
http://www.wikidata.org/entity/Q2677	11406848-n		
http://www.wikidata.org/entity/Q2703	15321930-n		
http://www.wikidata.org/entity/Q2935	14785513-n		
http://www.wikidata.org/entity/Q2979	14017941-n	D005610	
http://www.wikidata.org/entity/Q5317	04272645-n		
http://www.wikidata.org/entity/Q5386	00450502-n		
http://www.wikidata.org/entity/Q5414	02091397-n		
http://www.wikidata.org/entity/Q5586	11075910-n		
http://www.wikidata.org/entity/Q5699	08938573-n		
http://www.wikidata.org/entity/Q5813	09047342-n		
http://www.wikidata.org/entity/Q5816	11175434-n		
http://www.wikidata.org/entity/Q5826	08747285-n		
http://www.wikidata.org/entity/Q5836	09049662-n		
