item	itemLabel	wordnet_id	MESH	CUI	ICD-10	SNOMED-CT	wordnet30_id	sense
http://www.wikidata.org/entity/Q8	happiness	07542591-n	D006240				07527352-n	joy%1:12:00:: joyfulness%1:12:00:: joyousness%1:12:00::
http://www.wikidata.org/entity/Q23	George Washington	11395413-n					11375418-n	george_washington%1:18:00:: president_washington%1:18:00:: washington%1:18:00::
http://www.wikidata.org/entity/Q31	Belgium	08868745-n	D001530				08849753-n	belgique%1:15:00:: kingdom_of_belgium%1:15:00:: belgium%1:15:00::
http://www.wikidata.org/entity/Q45	Portugal	09007158-n	D011174				08984788-n	portuguese_republic%1:15:00:: portugal%1:15:00::
http://www.wikidata.org/entity/Q51	Antarctica	09220984-n					09198106-n	antarctica%1:17:00:: antarctic_continent%1:17:00::
http://www.wikidata.org/entity/Q58	penis	05534035-n					05526384-n	penis%1:08:00:: member%1:08:01:: phallus%1:08:00::
http://www.wikidata.org/entity/Q144	dog	02086723-n	D004285				02084071-n	canis_familiaris%1:05:00:: domestic_dog%1:05:00:: dog%1:05:00::
http://www.wikidata.org/entity/Q147	kitten	02124950-n					02122298-n	puss%1:05:00:: kitty%1:05:01:: kitty-cat%1:05:00:: pussycat%1:05:00:: pussy%1:05:00::
http://www.wikidata.org/entity/Q148	People's Republic of China	08740839-n					08723006-n	red_china%1:15:00:: people's_republic_of_china%1:15:00:: china%1:15:00:: communist_china%1:15:00:: prc%1:15:00:: mainland_china%1:15:00:: cathay%1:15:00::
http://www.wikidata.org/entity/Q155	Brazil	08872733-n	D001938				08853741-n	brazil%1:15:00:: federative_republic_of_brazil%1:15:00:: brasil%1:15:00::
http://www.wikidata.org/entity/Q163	Yorkshire	08905438-n					08885211-n	yorkshire%1:15:00::
http://www.wikidata.org/entity/Q177	pizza	07889783-n					07873807-n	pizza_pie%1:13:00:: pizza%1:13:00::
http://www.wikidata.org/entity/Q178	pasta	07879350-n					07863374-n	pasta%1:13:01::
http://www.wikidata.org/entity/Q183	Germany	08784821-n	D005858				08766988-n	federal_republic_of_germany%1:15:00:: germany%1:15:00:: deutschland%1:15:00:: frg%1:15:00::
http://www.wikidata.org/entity/Q207	George W. Bush	10895517-n					10875910-n	bush%1:18:02:: president_bush%1:18:02:: dubyuh%1:18:00:: george_w._bush%1:18:00:: george_walker_bush%1:18:00:: george_bush%1:18:01:: dubya%1:18:00:: president_george_w._bush%1:18:00::
http://www.wikidata.org/entity/Q233	Malta	08988759-n	D008319				08966408-n	republic_of_malta%1:15:00:: malta%1:15:00::
http://www.wikidata.org/entity/Q288	Tours	08958124-n					08938351-n	tours%1:15:00::
http://www.wikidata.org/entity/Q298	Chile	08738314-n	D002677				08720481-n	republic_of_chile%1:15:00:: chile%1:15:00::
http://www.wikidata.org/entity/Q362	World War II	01314587-n	D047789				01312096-n	world_war_2%1:04:00:: second_world_war%1:04:00:: world_war_ii%1:04:00::
http://www.wikidata.org/entity/Q398	Bahrain	08867086-n	D001445				08848094-n	bahrein%1:15:00:: bahrain%1:15:00:: state_of_bahrain%1:15:00::
http://www.wikidata.org/entity/Q497	anus	05545649-n					05538016-n	anus%1:08:00::
http://www.wikidata.org/entity/Q501	Charles Baudelaire	10858080-n					10838484-n	charles_pierre_baudelaire%1:18:00:: charles_baudelaire%1:18:00:: baudelaire%1:18:00::
http://www.wikidata.org/entity/Q514	anatomy	00647430-n	D000715				00646187-n	anatomy%1:04:00::
http://www.wikidata.org/entity/Q524	Mount Vesuvius	09200780-n					09177883-n	mt._vesuvius%1:15:00:: vesuvius%1:15:00:: mount_vesuvius%1:15:00::
http://www.wikidata.org/entity/Q585	Oslo	08782902-n					08765069-n	christiania%1:15:00:: oslo%1:15:00:: capital_of_norway%1:15:00::
http://www.wikidata.org/entity/Q586	Bonn	08789970-n					08772137-n	bonn%1:15:00::
http://www.wikidata.org/entity/Q597	Lisbon	09008436-n					08986066-n	capital_of_portugal%1:15:00:: lisboa%1:15:00:: lisbon%1:15:00::
